ID,No.,Composer,Composer_Eng,Artist,Artist_Eng,Title,Title_Eng,CD,Track_No.,FileName
1,1,"ハイドン, F.J.","Haydn, Franz Joseph",東京シティ・フィルハーモニック管弦楽団,Tokyo City Philharmonic Orchestra,交響曲 第94番 ト長調 「驚愕」 第1楽章,"Symphony no.94 in G major, Hob. I-94 'The Surprise'. 1st mvmt.",RWC-MDB-C-2001-M01,1,RWC-MDB-C-2001-M01/01.wav
2,2,"モーツァルト, W.A.","Mozart, Wolfgong Amadeus",東京シティ・フィルハーモニック管弦楽団,Tokyo City Philharmonic Orchestra,交響曲 第40番 ト短調 K.550 第1楽章,"Symphony no.40 in G minor, K.550. 1st mvmt.",RWC-MDB-C-2001-M01,2,RWC-MDB-C-2001-M01/02.wav
3,3,"ベートーヴェン, L.v.","Beethoven, Ludwig van",東京シティ・フィルハーモニック管弦楽団,Tokyo City Philharmonic Orchestra,交響曲 第5番 ハ短調 op.67 「運命」 第1楽章,"Symphony no.5 in C minor, op.67. 1st mvmt.",RWC-MDB-C-2001-M01,3,RWC-MDB-C-2001-M01/03.wav
4,4,"チャイコフスキー, P.I.","Tchaikovsky, Pyotr Ilich",東京シティ・フィルハーモニック管弦楽団,Tokyo City Philharmonic Orchestra,交響曲 第6番 ロ短調 op.74 「悲愴」 第4楽章,"Symphony no.6 in B minor, op.74 'Pathetique'. 4th mvmt.",RWC-MDB-C-2001-M01,4,RWC-MDB-C-2001-M01/04.wav
5,5,"モーツァルト, W.A.","Mozart, Wolfgang Amadeus",東京シティ・フィルハーモニック管弦楽団,Tokyo City Philharmonic Orchestra,ヴァイオリン協奏曲 第5番 イ長調 K.219 「トルコ風」 第1楽章,"Violin Concerto no.5 in A major, K.219. 1st mvmt.",RWC-MDB-C-2001-M01,5,RWC-MDB-C-2001-M01/05.wav
6,6,"ショパン, F.F.","Chopin, Frederic Francois",東京シティ・フィルハーモニック管弦楽団,Tokyo City Philharmonic Orchestra,ピアノ協奏曲 第1番 ホ短調 op.11 第2楽章,"Piano Concerto no.1 in E minor, op.11. 2nd mvmt.",RWC-MDB-C-2001-M01,6,RWC-MDB-C-2001-M01/06.wav
7,7,"バッハ, J.S.","Bach, Johann Sebastian",東京シティ・フィルハーモニック管弦楽団,Tokyo City Philharmonic Orchestra,ブランデンブルク協奏曲 第5番 ニ長調 BWV.1050 第1楽章,"Brandenburg Concerto no.5 in D major, BWV.1050. 1st mvmt.",RWC-MDB-C-2001-M02,1,RWC-MDB-C-2001-M02/01.wav
8,8,"モーツァルト, W.A.","Mozart, Wolfgong Amadeus",東京シティ・フィルハーモニック管弦楽団,Tokyo City Philharmonic Orchestra,歌劇「フィガロの結婚」 K.498 序曲,"<Le Nozze di Figaro>(The Marriage of Figaro), K.492: Overture",RWC-MDB-C-2001-M02,2,RWC-MDB-C-2001-M02/02.wav
9,9,"ワーグナー, R.","Wagner, Richard",東京シティ・フィルハーモニック管弦楽団,Tokyo City Philharmonic Orchestra,歌劇「トリスタンとイゾルデ」前奏曲と「愛の死」,<Tristan und Isolde>: Prelude and 'Liebestod',RWC-MDB-C-2001-M02,3,RWC-MDB-C-2001-M02/03.wav
10,10,"シュトラウス II, J.","Strauss II, Johann",東京シティ・フィルハーモニック管弦楽団,Tokyo City Philharmonic Orchestra,ワルツ「美しく青きドナウ」op.314,"An der Schonen Blauen Danau'(Blue Danube Waltz), op.314",RWC-MDB-C-2001-M02,4,RWC-MDB-C-2001-M02/04.wav
11,11,"バッハ, J.S.","Bach, Johann Sebastian",菅 哲也,Tetsuya Kan,バッサカリアとフーガ ハ短調 BWV.582,"Passacaglia and Fugue in C minor, BWV.582",RWC-MDB-C-2001-M02,5,RWC-MDB-C-2001-M02/05.wav
12,12,"バッハ, J.S.","Bach, Johann Sebastian",ウッド・ランド・ノーツ,Wood Land Notes,「音楽の捧げ物」BWV.1079 「6声のリチェルカーレ」,"<The Musical Offering>, BWV.1079. 'Ricercare a 6'",RWC-MDB-C-2001-M03,1,RWC-MDB-C-2001-M03/01.wav
13,13,"モーツァルト, W.A.","Mozart, Wolfgong Amadeus",ウッド・ランド・ノーツ,Wood Land Notes,弦楽四重奏曲 第19番 ハ長調 K.495「不協和音」第1楽章,"String Quartet no.19 in C major, K.495. 1st mvmt.",RWC-MDB-C-2001-M03,2,RWC-MDB-C-2001-M03/02.wav
14,14,"ベートーヴェン, L.v.","Beethoven, Ludwig van",ウッド・ランド・ノーツ,Wood Land Notes,弦楽四重奏曲 第14番 嬰ハ短調 op.131 第5楽章,"String Quartet no.14 in C sharp minor, op.131. 5th mvmt.",RWC-MDB-C-2001-M03,3,RWC-MDB-C-2001-M03/03.wav
15,15,"ボロディン, A.","Borodin, Alexander",ウッド・ランド・ノーツ,Wood Land Notes,弦楽四重奏曲 第2番 ニ長調 第3楽章「ノクターン」,String Quartet no.2 in D major. 3rd mvmt.,RWC-MDB-C-2001-M03,4,RWC-MDB-C-2001-M03/04.wav
16,16,"モーツァルト, W.A.","Mozart, Wolfgong Amadeus",ウッド・ランド・ノーツ,Wood Land Notes,クラリネット五重奏曲 イ長調 K.581 第1楽章,"Clarinet Quintet in A major, K.581 1st mvmt.",RWC-MDB-C-2001-M03,5,RWC-MDB-C-2001-M03/05.wav
17,17,"ブラームス, J.","Brahms, Johnnes",ウッド・ランド・ノーツ,Wood Land Notes,クラリネット五重奏曲 ロ短調 op.115 第3楽章,"Clarinet Quintet in B minor, op.115. 3rd mvmt.",RWC-MDB-C-2001-M03,6,RWC-MDB-C-2001-M03/06.wav
18,18,"ブラームス, J.","Brahms, Johnnes",ウッド・ランド・ノーツ,Wood Land Notes,ホルン三重奏曲 変ホ長調 op.40 第2楽章,"Horn Trio in E flat major, op.40. 2nd mvmt.",RWC-MDB-C-2001-M03,7,RWC-MDB-C-2001-M03/07.wav
19,19,"ベートーヴェン, L.v.","Beethoven, Ludwig van",ウッド・ランド・ノーツ,Wood Land Notes,ピアノ三重奏曲 第7番 変ロ長調 op.97 「大公」第1楽章,"Piano Trio no.7 in B flat major, op.97 'Archduke'. 1st mvmt.",RWC-MDB-C-2001-M04,1,RWC-MDB-C-2001-M04/01.wav
20,20,"ブラームス, J.","Brahms, Johnnes",ウッド・ランド・ノーツ,Wood Land Notes,ピアノ三重奏曲 第1番 ロ長調 op.8 第1楽章,"Piano Trio no.1 in B major, op.8. 1st mvmt.",RWC-MDB-C-2001-M04,2,RWC-MDB-C-2001-M04/02.wav
21,21,"シューベルト, F.P.","Schubert, Franz Peter",ウッド・ランド・ノーツ,Wood Land Notes,ピアノ五重奏曲 イ長調 op.92/D.667「ます」第4楽章,"Piano Quintet in A major, op.32/D.667 'Trouit'. 4th mvmt.",RWC-MDB-C-2001-M04,3,RWC-MDB-C-2001-M04/03.wav
22,22,"ブラームス, J.","Brahms, Johnnes",古市 ゆり子 & 菊池 佳子,Yuriko Furuichi & Yoshiko Kikuchi,ハンガリー舞曲 第5番 嬰ヘ短調,Hungarian Dance no.5 in F sharp minor,RWC-MDB-C-2001-M04,4,RWC-MDB-C-2001-M04/04.wav
23,23,"ラヴェル, M.","Ravel, Maurice",古市 ゆり子 & 菊池 佳子,Yuriko Furuichi & Yoshiko Kikuchi,組曲「マ・メール・ロア」1.眠りの森の美女のバヴァーヌ,Suite <Ma Mere L'Oye>(Mother Goose) 1. Pavane de la Belle au Bais Dormant,RWC-MDB-C-2001-M04,5,RWC-MDB-C-2001-M04/05.wav
24,23,"ラヴェル, M.","Ravel, Maurice",古市 ゆり子 & 菊池 佳子,Yuriko Furuichi & Yoshiko Kikuchi,組曲「マ・メール・ロア」2.おやゆび小僧,Suite <Ma Mere L'Oye>(Mother Goose) 2. Petit Poucet,RWC-MDB-C-2001-M04,6,RWC-MDB-C-2001-M04/06.wav
25,23,"ラヴェル, M.","Ravel, Maurice",古市 ゆり子 & 菊池 佳子,Yuriko Furuichi & Yoshiko Kikuchi,組曲「マ・メール・ロア」3.パコダの女王レドロネット,"Suite <Ma Mere L'Oye>(Mother Goose) 3. Laideronnette, Imperatrice des Pagodes",RWC-MDB-C-2001-M04,7,RWC-MDB-C-2001-M04/07.wav
26,23,"ラヴェル, M.","Ravel, Maurice",古市 ゆり子 & 菊池 佳子,Yuriko Furuichi & Yoshiko Kikuchi,組曲「マ・メール・ロア」4.美女と野獣の対話,Suite <Ma Mere L'Oye>(Mother Goose) 4. Les Entretiens de la Belle et de la Bete,RWC-MDB-C-2001-M04,8,RWC-MDB-C-2001-M04/08.wav
27,23,"ラヴェル, M.","Ravel, Maurice",古市 ゆり子 & 菊池 佳子,Yuriko Furuichi & Yoshiko Kikuchi,組曲「マ・メール・ロア」5.妖精の園,Suite <Ma Mere L'Oye>(Mother Goose) 5. Le Jardin Feerique,RWC-MDB-C-2001-M04,9,RWC-MDB-C-2001-M04/09.wav
