56,45,"ヘンデル, G.F.","Handel, George Frideric",柳沢 里穂子,Rihoko Yanagisawa,「樹木の陰で」(Ombra mai fu:Largo)(歌劇「クセルクセス」より),Air 'Ombra mai fu'(Largo) from <Serse> (Xerxes),RWC-MDB-C-2001-M06,10,,,,,RWC/ClassicalMusic/RWC-MDB-C-2001-M06/10.wav
57,46,"モーツァルト, W.A.","Mozart, Wolfgong Amadeus",斉藤 真希子,Makiko Saito,アリア 14 (夜の女王のアリア)「復讐の心は地獄のようにわが胸に燃え」(歌劇「魔笛」K.620より),"Air 14(Queen of the Night's Air)'Der Holle Rache Kocht in meinem Herzen' from <Die Zauberflote>(The Magic Flute), K.620",RWC-MDB-C-2001-M06,11,,,,,RWC/ClassicalMusic/RWC-MDB-C-2001-M06/11.wav
58,47,"シューベルト, F.P.","Schubert, Franz Peter",上田 飛鳥,Asuka Ueda,「セレナーデ」(歌曲集「白鳥の歌」D.957 第4曲),"'Standchen'(Serenade) from <Schwanengesong>, D.957",RWC-MDB-C-2001-M06,12,,,,,RWC/ClassicalMusic/RWC-MDB-C-2001-M06/12.wav
59,48,"シューベルト, F.P.","Schubert, Franz Peter",小高 臣彦,Tomihiko Kotaka,「菩提樹」(歌曲集「冬の旅」op.89/D.911 第5曲),"'Der Lindenbaum' from <Winterreise>, op.89/D.911",RWC-MDB-C-2001-M06,13,,,,,RWC/ClassicalMusic/RWC-MDB-C-2001-M06/13.wav
60,49,"ヴェルディ, G.","Verdi, Giuseppe",萩野 領介,Ryosuke Hagino,「女心の歌」(歌劇「リゴレット」より),Air 'La donna e mobile qual piuma al vento' from <Rigoletto>,RWC-MDB-C-2001-M06,14,,,,,RWC/ClassicalMusic/RWC-MDB-C-2001-M06/14.wav
61,50,"ビゼー, G.","Bizet, Georges",遠山 裕美,Hiromi Tohyama,ミカエラのアリア「何を恐れることがありましょう」(歌劇「カルメン」より),Micaela's Air 'Je dis que rien ne m'epouvante' from <Carman>,RWC-MDB-C-2001-M06,15,,,,,RWC/ClassicalMusic/RWC-MDB-C-2001-M06/15.wav
62,1,,,井口 憤也,Shinya Iguchi,Wasting Time,Wasting Time,RWC-MDB-G-2001-M01,1,ポップス,Popular,ポップス,Popular,RWC/MusicGenre/RWC-MDB-G-2001-M01/01.wav
63,2,,,井口 憤也,Shinya Iguchi,Forget about It,Forget about It,RWC-MDB-G-2001-M01,2,ポップス,Popular,ポップス,Popular,RWC/MusicGenre/RWC-MDB-G-2001-M01/02.wav
64,3,,,Donna Burke,Donna Burke,In Your Arms,In Your Arms,RWC-MDB-G-2001-M01,3,ポップス,Popular,ポップス,Popular,RWC/MusicGenre/RWC-MDB-G-2001-M01/03.wav
65,4,,,井口 憤也,Shinya Iguchi,Hold On,Hold On,RWC-MDB-G-2001-M01,4,ポップス,Popular,バラード,Ballade,RWC/MusicGenre/RWC-MDB-G-2001-M01/04.wav
