ID,No.,Composer,Composer_Eng,Artist,Artist_Eng,Title,Title_Eng,CD,Track_No.,Genre,Genre_Eng,Sub-Genre,Sub-Genre_Eng,FileName
1,1,,,井口 憤也,Shinya Iguchi,Wasting Time,Wasting Time,RWC-MDB-G-2001-M01,1,ポップス,Popular,ポップス,Popular,RWC-MDB-G-2001-M01/01.wav
2,2,,,井口 憤也,Shinya Iguchi,Forget about It,Forget about It,RWC-MDB-G-2001-M01,2,ポップス,Popular,ポップス,Popular,RWC-MDB-G-2001-M01/02.wav
3,3,,,Donna Burke,Donna Burke,In Your Arms,In Your Arms,RWC-MDB-G-2001-M01,3,ポップス,Popular,ポップス,Popular,RWC-MDB-G-2001-M01/03.wav
4,4,,,井口 憤也,Shinya Iguchi,Hold On,Hold On,RWC-MDB-G-2001-M01,4,ポップス,Popular,バラード,Ballade,RWC-MDB-G-2001-M01/04.wav
5,5,,,井口 憤也,Shinya Iguchi,Taking Your Heart,Taking Your Heart,RWC-MDB-G-2001-M01,5,ポップス,Popular,バラード,Ballade,RWC-MDB-G-2001-M01/05.wav
6,6,,,Betty,Betty,Let's Take Some Time … To Think It Over,Let's Take Some Time … To Think It Over,RWC-MDB-G-2001-M01,6,ポップス,Popular,バラード,Ballade,RWC-MDB-G-2001-M01/06.wav
7,7,,,Donna Burke,Donna Burke,Everyday Lovin',Everyday Lovin',RWC-MDB-G-2001-M01,7,ロック,Rock,ロック,Rock,RWC-MDB-G-2001-M01/07.wav
8,8,,,Jeff Manning,Jeff Manning,Living in a World of Destruction,Living in a World of Destruction,RWC-MDB-G-2001-M01,8,ロック,Rock,ロック,Rock,RWC-MDB-G-2001-M01/08.wav
9,9,,,Donna Burke,Donna Burke,Waiting for Your Love,Waiting for Your Love,RWC-MDB-G-2001-M01,9,ロック,Rock,ロック,Rock,RWC-MDB-G-2001-M01/09.wav
10,10,,,Jeff Manning,Jeff Manning,Lost in My Dreams,Lost in My Dreams,RWC-MDB-G-2001-M01,10,ロック,Rock,ヘビーメタル,Heavy Metal,RWC-MDB-G-2001-M01/10.wav
11,11,,,Donna Burke,Donna Burke,21 st Century,21 st Century,RWC-MDB-G-2001-M01,11,ロック,Rock,ヘビーメタル,Heavy Metal,RWC-MDB-G-2001-M01/11.wav
12,12,,,Betty,Betty,Woman,Woman,RWC-MDB-G-2001-M01,12,ロック,Rock,ヘビーメタル,Heavy Metal,RWC-MDB-G-2001-M01/12.wav
13,13,,,Donna Burke,Donna Burke,Guess Again,Guess Again,RWC-MDB-G-2001-M02,1,ダンス,Dance,ラップ/ヒップホップ,Rap/Hip-Hop,RWC-MDB-G-2001-M02/01.wav
14,14,,,Jeff Manning,Jeff Manning,Tuesday Morning,Tuesday Morning,RWC-MDB-G-2001-M02,2,ダンス,Dance,ラップ/ヒップホップ,Rap/Hip-Hop,RWC-MDB-G-2001-M02/02.wav
15,15,,,Greg Irwin,Greg Irwin,Rocket in My Pocket,Rocket in My Pocket,RWC-MDB-G-2001-M02,3,ダンス,Dance,ラップ/ヒップホップ,Rap/Hip-Hop,RWC-MDB-G-2001-M02/03.wav
16,16,,,Nishi feat.T,Nishi feat.T,Life Gage,Life Gage,RWC-MDB-G-2001-M02,4,ダンス,Dance,ハウス,House,RWC-MDB-G-2001-M02/04.wav
